Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,Ияри | 6 stars | 115 | 187744,4296715,15899076,5914636,,,Ашерона и Пиро | 6 stars | 130 | 201160,3401451,21513927,0,
,,,Ригель | 6 stars | 130 | 227218,3768163,15520211,0,,,Молох | 6 stars | 130 | 217715,2913876,26298390,0,
,,,Тотем Духа Тьмы | 6 stars | 130,5663817,0,0,,,Тотем Духа Огня | 6 stars | 130,73160781,4455262,0,
,,,Тотем Духа Света | 6 stars | 130,31938996,0,0,,,,,,,

Маяк (Позиция 1),Победа,+35,Старый (130-1103755),,,,,,Hachi (130-1208659),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Себастьян | Красный +2 | 6 stars | 130 | 183951,1757807,242557,0,Альбус | 11064,,Лара Крофт | Красный +2 | 6 stars | 130 | 227378,1192503,880934,416663,Векс | 11064
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 188261,1533808,193054,615925,Векс | 9018,,Исмаил | Красный +2 | 6 stars | 130 | 208422,1172590,1135454,574224,Фенрис | 11064
,,,Галахад | Красный +2 | 6 stars | 130 | 190100,737021,1571741,457472,Оливер | 11064,,Лирия | Красный +2 | 6 stars | 130 | 179921,52317,1128796,7168,
,,,Тристан | Красный +2 | 6 stars | 130 | 180582,563344,195533,0,Фенрис | 7778,,Себастьян | Красный +2 | 6 stars | 130 | 203138,46790,607737,0,Альбус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 178918,303862,261315,0,Бисквит | 4767,,Фафнир | Красный +2 | 6 stars | 130 | 207857,0,1142921,0,Мара | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Бастион (Позиция 3),Победа,+35,Старый (130-1074164),,,,,,pphrla (130-1151270),Увеличение защиты от магии (39%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Исмаил | Красный +2 | 6 stars | 130 | 199067,2465809,2074224,1735698,Фенрис | 7778,,Ясмин | Красный +2 | 6 stars | 130 | 193098,2897266,619044,0,Каин | 11064
,,,Джу | Красный +2 | 6 stars | 130 | 188027,1348720,332419,75494,Векс | 9018,,Джу | Красный +2 | 6 stars | 130 | 190401,863937,1455129,114688,
,,,Хайди | Красный +2 | 6 stars | 130 | 166205,1266540,2967,0,Альбус | 11064,,Айзек | Красный +2 | 6 stars | 130 | 197628,687682,439847,0,Мара | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 176722,302570,2074224,176811,Хорус | 11064,,Галахад | Красный +2 | 6 stars | 130 | 206251,16076,1133441,3617,Бисквит | 11064
,,,Фафнир | Красный +2 | 6 stars | 130 | 162200,0,118503,0,Мара | 2988,,Марта | Красный +2 | 6 stars | 130 | 181949,6362,1669094,1433625,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,20520,0,0,,,Фенрис | Фиолетовый +3 | 6 stars | 130 | 181943,43410,0,0,

Академия Магов (Позиция 1),Победа,+35,3.14_ZDETS (130-1036650),,,,,,The Suicide Kid (130-1062716),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 204185,2065570,225404,0,Хорус | 11064,,Хайди | Красный +2 | 6 stars | 130 | 193943,853379,397907,0,Альбус | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 200456,1849949,216616,0,Каин | 10154,,Айрис | Красный +2 | 6 stars | 130 | 170013,139672,495760,0,
,,,Август | Красный +2 | 6 stars | 130 | 185769,707092,231456,0,Альбус | 10154,,Эйден | Красный +2 | 6 stars | 130 | 175485,117683,1658327,144872,Хорус | 11064
,,,Марта | Оранжевый +4 | 6 stars | 130 | 82347,1464,205102,4773,Оливер | 4773,,Руфус | Красный +2 | 6 stars | 130 | 163994,3235,1658327,480910,Бисквит | 7339
,,,Небула | Красный +2 | 6 stars | 130 | 181950,0,236275,0,,,Амира | Красный +2 | 6 stars | 130 | 177338,884,413754,0,Аксель | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Академия Магов (Позиция 2),Победа,+35,3.14_ZDETS (130-987293),,,,,,CFJSJH2-1-2 (130-1105223),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Исмаил | Красный +2 | 6 stars | 130 | 197457,2765642,670702,591449,Фенрис | 6033,,Лара Крофт | Красный +2 | 4 stars | 130 | 201693,922998,674641,0,Векс | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 194598,1109876,49591,0,Альбус | 10154,,Себастьян | Красный +2 | 6 stars | 130 | 196349,354068,630629,0,Фенрис | 11064
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 201107,807261,44150,0,Векс | 4773,,Эйден | Красный +2 | 6 stars | 130 | 185574,114424,1544237,152692,Хорус | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 130997,84933,670702,158946,Хорус | 11064,,Тея | Красный +2 | 6 stars | 130 | 173911,62484,512640,84807,Мерлин | 11064
,,,Амира | Оранжевый +4 | 6 stars | 130 | 81191,12236,68353,0,Аксель | 11064,,Лирия | Красный +2 | 6 stars | 130 | 165753,49524,1544237,0,Бисквит | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,126436,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Казармы (Позиция 3),Поражение,0,Пунь Пунь (130-1106087),,,,,,Karn (130-1128932),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Селеста | Красный +2 | 6 stars | 130 | 194077,330872,395527,0,Хорус | 8546,,Исмаил | Красный +2 | 6 stars | 130 | 205530,2171161,59840,183896,Фенрис | 9516
,,,Хайди | Красный +2 | 6 stars | 130 | 203668,183247,437270,0,Альбус | 11064,,Лирия | Красный +2 | 6 stars | 130 | 181800,439972,167531,31006,Оливер | 11064
,,,Ясмин | Красный +2 | 6 stars | 130 | 200947,107655,398645,0,Каин | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 203138,365803,60606,0,Альбус | 11064
,,,Астарот | Красный +2 | 6 stars | 130 | 187360,7483,1380065,237271,Оливер | 5691,,Данте | Красный +2 | 6 stars | 130 | 181381,164705,46357,0,
,,,Марта | Красный +2 | 6 stars | 130 | 138092,1661,605542,54536,Аксель | 6096,,Астарот | Красный +2 | 6 stars | 130 | 175140,75408,306213,158960,Бисквит | 6894
,,,Каин | Фиолетовый +3 | 6 stars | 130 | 181943,9629,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Бастион (Позиция 5),Победа,+29,Nergal (130-921715),,,,,,Xzypher (130-1036699),Увеличение защиты от магии (39%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Исмаил | Красный +2 | 6 stars | 130 | 199693,2115242,1243127,1009991,Фенрис | 6772,,К'арх | Красный +2 | 6 stars | 130 | 181513,1551484,466757,43985,
,,,Эйден | Красный +2 | 6 stars | 130 | 182939,409849,1243127,247685,Мерлин | 11064,,Кира | Красный +2 | 6 stars | 130 | 158719,1133697,418992,99821,
,,,Себастьян | Красный +2 | 6 stars | 130 | 184712,337660,591565,0,Альбус | 11064,,Галахад | Красный +2 | 6 stars | 130 | 171706,712811,976363,264419,
,,,Джу | Красный +2 | 6 stars | 130 | 172428,267161,694975,73877,Векс | 11064,,Арахна | Красный +2 | 6 stars | 130 | 185334,315654,677690,142553,
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,319923,0,0,,,Марта | Красный +2 | 6 stars | 130 | 167494,9912,860797,178538,
,,,,,,,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 171933,0,0,0,

Бастион,Укрепление захвачено,+235
Казармы (Позиция 3),Поражение,+19,Wren (130-1056581),,,,,,Karn (130-1128932),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Гелиос | Красный +2 | 6 stars | 130 | 170430,1785555,564822,0,Аксель | 11064,,Данте | Красный +2 | 6 stars | 130 | 181381,1671430,150956,0,
,,,Орион | Красный +2 | 6 stars | 130 | 201063,529835,488103,0,Хорус | 11064,,Лирия | Красный +2 | 6 stars | 130 | 181800,503897,1196103,43317,Оливер | 11064
,,,Аврора | Красный +2 | 6 stars | 130 | 201855,196286,949730,0,Каин | 10154,,Исмаил | Красный +2 | 6 stars | 130 | 205530,474764,671669,420798,Фенрис | 9516
,,,Небула | Красный +2 | 6 stars | 130 | 183326,0,503751,0,,,Себастьян | Красный +2 | 6 stars | 130 | 203138,100938,267161,0,Альбус | 11064
,,,Август | Красный +2 | 6 stars | 130 | 127974,0,344727,0,Альбус | 10154,,Астарот | Красный +2 | 6 stars | 130 | 175140,100104,225787,105995,Бисквит | 6894
,,,Каин | Фиолетовый +3 | 5 stars | 130 | 171933,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Казармы (Позиция 3),Победа,+2,2 718 (130-591308),,,,,,Karn (130-1128932),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 158816,381667,0,0,Аксель | 6894,,Лирия | Красный +2 | 6 stars | 130 | 181800,221769,392499,221280,Оливер | 11064
,,,Каскад | Красный +1 | 6 stars | 130 | 102894,74809,0,0,Хорус | 6894,,Данте | Красный +2 | 6 stars | 130 | 181381,86944,6697,0,
,,,Август | Оранжевый +2 | 5 stars | 130 | 60387,31801,131112,36569,Альбус | 6664,,Астарот | Красный +2 | 6 stars | 130 | 175140,37786,121119,105215,Бисквит | 6894
,,,Дориан | Оранжевый +4 | 6 stars | 130 | 79703,30890,0,0,Мерлин | 5050,,Себастьян | Красный +2 | 6 stars | 130 | 203138,0,0,0,Альбус | 11064
,,,Сатори | Красный | 6 stars | 130 | 71390,1148,215387,0,,,Исмаил | Красный +2 | 6 stars | 130 | 205530,0,0,0,Фенрис | 9516
,,,Аксель | Фиолетовый +2 | 5 stars | 130 | 118118,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Казармы,Укрепление захвачено,+105
Башня Алхимии (Позиция 1),Поражение,0,Пунь Пунь (130-1127623),,,,,,Oinari (130-1193236),Увеличение брони (48%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 197027,420512,543226,43544,Фенрис | 10154,,Исмаил | Красный +2 | 6 stars | 130 | 208422,2801519,8310,8310,Фенрис | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 169923,11986,1535593,5121,Оливер | 5691,,Лара Крофт | Красный +2 | 6 stars | 130 | 227378,1349416,224825,213759,Векс | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 193926,5895,561877,0,Альбус | 11064,,Лирия | Красный +2 | 6 stars | 130 | 192479,283768,78169,8222,Оливер | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 199204,0,518311,0,Каин | 11064,,Хайди | Красный +2 | 6 stars | 130 | 208439,199705,102884,0,Альбус | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 185600,0,1535593,14611,Хорус | 8546,,Тея | Красный +2 | 6 stars | 130 | 174575,60192,24205,408240,
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Храм Луны (Позиция 4),Победа,+35,ZOV (130-1129025),,,,,,Hachi (130-1410395),Увеличение здоровья (91%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 130 | 206151,31797912,12799986,0,,,Ригель | 6 stars | 130 | 267419,5308590,30686493,0,
,,,Араджи | 6 stars | 130 | 200261,24900010,9865072,0,,,Тенебрис | 6 stars | 130 | 312449,5083810,31108234,7653171,
,,,Солярис | 6 stars | 130 | 311970,24326502,13128810,769596,,,Мор | 6 stars | 130 | 250632,3228320,33783136,0,
,,,Игнис | 6 stars | 130 | 160542,9463013,8893626,0,,,Солярис | 6 stars | 130 | 312498,2331686,28166803,2098882,
,,,Ияри | 6 stars | 130 | 250101,5500492,8691364,5393467,,,Брустар | 6 stars | 130 | 267397,1858842,35767956,0,
,,,Тотем Духа Огня | 6 stars | 109,63524693,0,0,,,Тотем Духа Тьмы | 6 stars | 130,35567610,0,2654433,
,,,Тотем Духа Света | 6 stars | 128,0,0,0,,,Тотем Духа Света | 6 stars | 130,0,0,0,

Храм Луны (Позиция 3),Поражение,+33,ZOV (130-1267299),,,,,,Hal Ulala (130-1145934),Увеличение здоровья (91%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Амон | 6 stars | 130 | 190511,27733644,11892336,3187165,,,Солярис | 6 stars | 130 | 239233,11685878,28917035,4080089,
,,,Тенебрис | 6 stars | 130 | 310989,24039282,17755893,8649805,,,Тенебрис | 6 stars | 130 | 265959,10810248,26268326,9234862,
,,,Ригель | 6 stars | 130 | 266890,14544232,14405434,0,,,Керос | 6 stars | 130 | 215695,2471418,26470589,0,
,,,Керос | 6 stars | 130 | 249448,10544772,16053259,2331071,,,Брустар | 6 stars | 130 | 237559,2118908,35663012,69922,
,,,Мор | 6 stars | 130 | 249461,1855260,15633944,0,,,Мор | 6 stars | 130 | 187488,1773723,27980173,0,
,,,Тотем Духа Тьмы | 6 stars | 130,51413594,0,0,,,Тотем Духа Тьмы | 6 stars | 130,46880691,0,2340000,
,,,Тотем Духа Света | 6 stars | 128,15168351,0,0,,,,,,,

Призма эфира (Позиция 1),Победа,+35,NAGIBATOR (130-904336),,,,,,Team 4919185 (130-850829),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 120 | 170096,9642541,3568286,0,,,Гиперион | 6 stars | 130 | 162823,13873985,10849885,1319798,
,,,Тенебрис | 6 stars | 126 | 253017,6414416,1979697,303735,,,Нова | 6 stars | 130 | 163131,4261899,6947290,0,
,,,Ашерона и Пиро | 5 stars | 117 | 157116,5782003,4682964,0,,,Араджи | 6 stars | 130 | 185902,3913923,7440332,0,
,,,Молох | 6 stars | 130 | 181724,3402171,12160237,0,,,Сигурд | 6 stars | 130 | 166524,2159006,12142321,0,
,,,Игнис | 6 stars | 113 | 142383,2605706,3568286,0,,,Эдем | 6 stars | 130 | 172449,1602059,11970089,0,
,,,Тотем Духа Огня | 6 stars | 98,21503080,1291762,2352000,,,Тотем Духа Воды | 2 stars | 112,1440360,0,1440360,

Призма эфира,Укрепление захвачено,+175
Храм Луны (Позиция 3),Поражение,+1,NAGIBATOR (130-411456),,,,,,Hal Ulala (130-1145934),Увеличение здоровья (91%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 105 | 115994,2604553,8666284,840514,,,Тенебрис | 6 stars | 130 | 265959,32901525,6331595,4463762,
,,,Эдем | 6 stars | 90 | 74739,2191131,6439389,0,,,Брустар | 6 stars | 130 | 237559,0,0,0,
,,,Сигурд | 6 stars | 93 | 60983,565298,6834160,0,,,Керос | 6 stars | 130 | 215695,0,0,0,
,,,Ияри | 6 stars | 89 | 60893,517881,4835109,725884,,,Солярис | 6 stars | 130 | 239233,0,0,0,
,,,Солярис | 6 stars | 90 | 98847,452732,6126583,358183,,,Мор | 6 stars | 130 | 187488,0,0,0,

Храм Луны (Позиция 1),Поражение,+13,Santa (130-806053),,,,,,The Suicide Kid (130-948348),Увеличение здоровья (91%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 187711,10345431,13724548,1477919,,,Брустар | 6 stars | 108 | 120752,10627804,18335875,0,
,,,Тенебрис | 6 stars | 130 | 229234,8742482,8179747,118233,,,Керос | 6 stars | 130 | 231337,5182873,3068349,744738,
,,,Нова | 6 stars | 111 | 135809,4877488,6723664,0,,,Солярис | 6 stars | 127 | 187292,3570744,3794785,1223978,
,,,Маири | 6 stars | 101 | 109337,2748880,7694076,0,,,Тенебрис | 6 stars | 130 | 291433,3083992,4222243,2084136,
,,,Сигурд | 6 stars | 125 | 143962,2234252,12935380,0,,,Мор | 6 stars | 108 | 117534,2656032,12894093,170147,
,,,Тотем Духа Воды | 3 stars | 104,13366812,0,6025230,,,Тотем Духа Тьмы | 4 stars | 112,24135970,0,0,

Башня Алхимии (Позиция 1),Победа,+29,Rom (130-1012382),,,,,,Oinari (130-1193236),Увеличение брони (48%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 179594,1394870,191141,0,Хорус | 9428,,Хайди | Красный +2 | 6 stars | 130 | 208439,837203,268207,0,Альбус | 11064
,,,Криста | Красный +2 | 6 stars | 130 | 187594,1132837,282448,0,Мерлин | 6484,,Исмаил | Красный +2 | 6 stars | 130 | 208422,172670,554296,67395,Фенрис | 11064
,,,Август | Красный +2 | 6 stars | 130 | 150665,389523,191141,0,Альбус | 6676,,Лара Крофт | Красный +2 | 6 stars | 130 | 227378,27289,428432,0,Векс | 11064
,,,Гелиос | Красный +2 | 6 stars | 130 | 132985,64195,191141,0,Бисквит | 4773,,Лирия | Красный +2 | 6 stars | 130 | 192479,9515,1203962,37268,Оливер | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 188599,0,191141,0,Каин | 11064,,Тея | Красный +2 | 6 stars | 130 | 174575,335,526528,0,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 172945,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Башня Алхимии (Позиция 3),Победа,+35,Rom (130-1008133),,,,,,kuralis (130-1201327),Увеличение брони (48%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Себастьян | Красный +2 | 6 stars | 130 | 174916,3212830,361498,0,Альбус | 6676,,Хайди | Красный +2 | 6 stars | 130 | 211078,1866599,388854,0,Каин | 11064
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 206184,2974635,451654,1010352,Векс | 5766,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 187601,799705,5204979,533481,Оливер | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 200069,1351548,469853,0,Каин | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 203138,646238,607737,0,Альбус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 175161,504775,2000837,243958,Оливер | 10154,,Лара Крофт | Красный +2 | 6 stars | 130 | 227378,344144,711800,0,Векс | 11064
,,,Эйден | Красный | 6 stars | 130 | 123675,122310,2000837,255576,Мерлин | 6484,,Юлиус | Красный +2 | 6 stars | 130 | 190189,23489,1252728,145216,
,,,Аксель | Фиолетовый +2 | 6 stars | 130 | 128128,0,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,1604504,0,0,

Башня Алхимии,Укрепление захвачено,+235
Маяк (Позиция 5),Поражение,0,Rom (130-788468),,,,,,Alchemists (130-1190903),Ускорение перезарядки умений (14%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Аврора | Красный +2 | 6 stars | 130 | 196087,401784,1541596,0,Каин | 11064,,Корвус | Красный +2 | 6 stars | 130 | 202376,2028653,135868,0,Альбус | 11064
,,,Фолио | Оранжевый +1 | 6 stars | 130 | 68506,106783,521214,156680,Мерлин | 6484,,К'арх | Красный +2 | 6 stars | 130 | 202702,769174,154191,73088,Мара | 11064
,,,Селеста | Красный +2 | 6 stars | 130 | 162909,81512,426462,311287,Хорус | 9428,,Себастьян | Красный +2 | 6 stars | 130 | 203138,451141,190486,0,Фенрис | 11064
,,,Каскад | Красный | 6 stars | 130 | 121703,70392,256315,0,Аксель | 7804,,Морриган | Красный +2 | 6 stars | 130 | 202558,224813,79707,152934,Аксель | 11064
,,,Марта | Красный +2 | 6 stars | 130 | 111135,5598,733451,471979,Оливер | 10154,,Марта | Красный +2 | 6 stars | 130 | 198186,5257,105817,440046,Оливер | 10154
,,,Аксель | Фиолетовый +2 | 6 stars | 130 | 128128,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Храм Луны (Позиция 1),Победа,+22,Пунь Пунь (130-925359),,,,,,The Suicide Kid (130-948348),Увеличение здоровья (91%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 195151,11920342,5382732,3568406,,,Керос | 6 stars | 130 | 231337,12959100,19845104,1108460,
,,,Тенебрис | 6 stars | 130 | 216564,11822252,4750343,5368248,,,Тенебрис | 6 stars | 130 | 291433,12005690,20575134,4299886,
,,,Маири | 6 stars | 130 | 169744,7052260,11686203,0,,,Солярис | 6 stars | 127 | 187292,9095240,22265830,2707563,
,,,Нова | 6 stars | 130 | 181586,6404960,9917165,0,,,Мор | 6 stars | 108 | 117534,1419818,6545846,425945,
,,,Сигурд | 6 stars | 130 | 162314,4501632,18972297,0,,,Брустар | 6 stars | 108 | 120752,0,0,0,
,,,Тотем Духа Воды | 5 stars | 115,27530468,2627462,12925328,,,Тотем Духа Тьмы | 4 stars | 112,16542623,0,0,

Храм Луны (Позиция 3),Победа,+1,Пунь Пунь (130-561096),,,,,,Hal Ulala (130-1145934),Увеличение здоровья (91%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 106 | 81423,1274474,0,0,,,Тенебрис | 6 stars | 130 | 265959,6227498,3871686,572682,
,,,Солярис | 6 stars | 130 | 206786,927662,809330,324182,,,Брустар | 6 stars | 130 | 237559,0,0,0,
,,,Ашерона и Пиро | 6 stars | 100 | 95105,881562,5418168,0,,,Керос | 6 stars | 130 | 215695,0,0,0,
,,,Эдем | 6 stars | 106 | 79730,441538,0,0,,,Солярис | 6 stars | 130 | 239233,0,0,0,
,,,Ияри | 6 stars | 119 | 98052,346450,0,0,,,Мор | 6 stars | 130 | 187488,0,0,0,

Храм Луны,Укрепление захвачено,+200
Академия Магов (Позиция 3),Поражение,+14,Wren (130-1119742),,,,,,AKATUKI (130-1052793),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 206742,2579904,643371,291664,Фенрис | 8108,,Себастьян | Красный +2 | 6 stars | 130 | 171851,1920834,170528,0,Альбус | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 195975,1230216,566017,0,Альбус | 10154,,Данте | Красный +2 | 6 stars | 130 | 201883,896814,19576,6903,Каин | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 202024,120156,444052,0,Каин | 10154,,Лирия | Красный +2 | 6 stars | 130 | 192292,501173,1849775,570277,Оливер | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 170061,48404,1227517,5682,Оливер | 4773,,Лара Крофт | Красный +2 | 5 stars | 130 | 182441,438592,505279,256158,Векс | 11064
,,,Фафнир | Красный +2 | 6 stars | 130 | 173007,0,951348,0,Мара | 4823,,Эйден | Красный +2 | 6 stars | 130 | 122383,74892,1849775,461567,
,,,Альбус | Фиолетовый +3 | 5 stars | 130 | 171933,416253,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Академия Магов (Позиция 3),Поражение,+15,Wren (130-991052),,,,,,AKATUKI (130-1052793),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Хайди | Красный +2 | 6 stars | 130 | 201277,3119700,372394,0,Альбус | 10154,,Данте | Красный +2 | 6 stars | 130 | 201883,1385029,384661,139037,Каин | 11064
,,,Исмаил | Красный +2 | 6 stars | 130 | 181825,429472,675571,163745,Оливер | 4773,,Лирия | Красный +2 | 6 stars | 130 | 192292,481487,1507505,710955,Оливер | 11064
,,,Селеста | Красный +2 | 6 stars | 130 | 140544,238739,304687,68638,Хорус | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 171851,132512,453843,0,Альбус | 11064
,,,Корнелиус | Красный +2 | 6 stars | 130 | 137851,13300,394251,0,Бисквит | 4773,,Эйден | Красный +2 | 6 stars | 130 | 122383,46595,1479811,200243,
,,,Джет | Красный +2 | 6 stars | 130 | 147612,2286,298720,0,Аксель | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 182441,0,0,0,Векс | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,22323,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Академия Магов (Позиция 3),Поражение,0,Пунь Пунь (130-757016),,,,,,AKATUKI (130-1052793),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Сатори | Красный | 6 stars | 130 | 109811,1215868,239563,3956,Аксель | 6096,,Данте | Красный +2 | 6 stars | 130 | 201883,1635519,161142,365456,Каин | 11064
,,,Орион | Красный +1 | 6 stars | 130 | 126905,446100,570648,268500,Хорус | 8546,,Лирия | Красный +2 | 6 stars | 130 | 192292,175433,756500,365305,Оливер | 11064
,,,Амира | Красный +2 | 6 stars | 130 | 167909,5490,364899,1698,Бисквит | 4336,,Эйден | Красный +2 | 6 stars | 130 | 122383,43239,756500,145244,
,,,Руфус | Оранжевый +1 | 6 stars | 130 | 103927,5182,451159,0,Альбус | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 171851,0,0,0,Альбус | 11064
,,,Дориан | Оранжевый | 6 stars | 130 | 66521,1502,227922,0,Мерлин | 4313,,Лара Крофт | Красный +2 | 5 stars | 130 | 182441,0,0,0,Векс | 11064
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Врата Природы (Позиция 1),Поражение,+6,Орел (130-519745),,,,,,Hachi (130-1120606),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Вулкан | 6 stars | 105 | 99967,3768071,4628323,0,,,Эдем | 6 stars | 130 | 220795,6523023,2773681,0,
,,,Тенебрис | 6 stars | 116 | 131594,3225287,9011031,1914075,,,Ангус | 6 stars | 130 | 237551,5905621,4912222,0,
,,,Брустар | 6 stars | 111 | 105055,2592899,9009372,0,,,Сильва | 6 stars | 130 | 237472,4461246,3612112,0,
,,,Эдем | 6 stars | 114 | 105095,2372865,9326899,0,,,Авалон | 6 stars | 130 | 220768,3781770,372207,0,
