Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,Эдем | 6 stars | 130 | 188864,14469219,15052542,0,,,Эдем | 6 stars | 130 | 141392,10202095,7576067,0,
,,,Солярис | 6 stars | 130 | 244151,14314898,11456573,1168137,,,Сигурд | 6 stars | 130 | 203752,7933040,17190308,0,
,,,Гиперион | 6 stars | 130 | 163294,12187247,14994134,2171983,,,Маири | 6 stars | 130 | 146401,7897973,8177294,0,
,,,Вердок и Фито | 4 stars | 118 | 107890,1347916,10090874,0,,,Гиперион | 6 stars | 130 | 195666,4818400,7880975,1959369,
,,,Тотем Духа Земли | 3 stars | 64,0,1689909,0,,,Тотем Духа Воды | 6 stars | 130,23342362,5489929,25137410,

Источник Стихий (Позиция 3),Поражение,0,Karn (130-699027),,,,,,Старый (130-890745),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ангус | 6 stars | 125 | 145784,4265685,11767686,0,,,Гиперион | 6 stars | 130 | 195666,13498481,1244284,1959369,
,,,Нова | 6 stars | 106 | 104533,2426288,5540082,0,,,Эдем | 6 stars | 130 | 141392,11709234,862740,0,
,,,Сигурд | 6 stars | 113 | 111246,1128384,8506980,0,,,Нова | 6 stars | 130 | 203534,4296128,2033033,0,
,,,Сильва | 6 stars | 115 | 151562,929834,8374571,0,,,Маири | 6 stars | 130 | 146401,3278503,3674524,0,
,,,Араджи | 6 stars | 130 | 185902,761468,7440332,0,,,Сигурд | 6 stars | 130 | 203752,0,0,0,
,,,,,,,,,Тотем Духа Воды | 6 stars | 130,8847305,1697078,6189190,

Источник Стихий (Позиция 4),Победа,+35,The Suicide Kid (130-971600),,,,,,3.14_ZDETS (130-957656),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Керос | 6 stars | 130 | 231337,11379264,5549536,0,,,Гиперион | 6 stars | 130 | 205470,9273045,20188051,1952086,
,,,Брустар | 6 stars | 108 | 120752,8606762,8883804,0,,,Нова | 6 stars | 130 | 200400,5265459,8976508,0,
,,,Ашерона и Пиро | 6 stars | 115 | 163084,5770061,8247119,0,,,Маири | 6 stars | 130 | 138909,3134641,11024082,0,
,,,Вулкан | 6 stars | 120 | 164994,4889329,6119831,0,,,Солярис | 6 stars | 130 | 198539,2067940,12896182,881343,
,,,Тенебрис | 6 stars | 130 | 291433,4627827,3472304,2962311,,,Сигурд | 6 stars | 130 | 214338,1754032,23440183,0,
,,,Тотем Духа Огня | 6 stars | 130,32698309,0,0,,,Тотем Духа Воды | 6 stars | 129,10777477,6801524,17255106,
,,,Тотем Духа Тьмы | 4 stars | 112,15354978,0,0,,,,,,,

Источник Стихий (Позиция 1),Победа,+35,The Suicide Kid (130-974490),,,,,,G_G (130-812852),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 130 | 215651,6601080,14498186,0,,,Гиперион | 6 stars | 110 | 125928,11354523,10454363,1108345,
,,,Араджи | 6 stars | 130 | 215563,5561435,7140206,0,,,Араджи | 6 stars | 130 | 150538,6609036,7440332,0,
,,,Гиперион | 6 stars | 120 | 144483,4862135,2576901,1160338,,,Амон | 6 stars | 130 | 215344,5246180,8000499,0,
,,,Игнис | 6 stars | 130 | 211501,3248122,2836138,0,,,Ригель | 6 stars | 130 | 201097,2566188,15201779,0,
,,,Солярис | 6 stars | 127 | 187292,1393050,0,800905,,,Эдем | 6 stars | 110 | 119945,1275504,9340205,0,
,,,Тотем Духа Огня | 6 stars | 130,28771356,0,0,,,Тотем Духа Света | 6 stars | 130,0,0,0,

Врата Природы (Позиция 1),Победа,+35,Oinari (130-1257448),,,,,,Wren (130-1041283),Снижение входящего урона (28%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 313909,21103896,18604254,10406037,,,Тенебрис | 6 stars | 130 | 207763,24309191,13122343,9855082,
,,,Молох | 6 stars | 130 | 241997,18294968,11953813,3428149,,,Эдем | 6 stars | 130 | 208671,14047867,19459625,0,
,,,Игнис | 6 stars | 130 | 224894,4818918,8333235,454099,,,Сильва | 6 stars | 130 | 203672,9506460,16207577,0,
,,,Араджи | 6 stars | 130 | 224845,4465575,9166152,405963,,,Авалон | 6 stars | 130 | 208378,3499468,18232123,0,
,,,Мор | 6 stars | 130 | 251803,3273731,15035809,0,,,Ангус | 6 stars | 130 | 212799,916599,18878545,0,
,,,Тотем Духа Огня | 6 stars | 130,26743281,0,0,,,Тотем Духа Земли | 6 stars | 130,10813678,15397173,0,
,,,Тотем Духа Тьмы | 6 stars | 130,18843090,0,0,,,,,,,

Врата Природы,Укрепление захвачено,+200
Мост Героев (Позиция 6),Победа,+35,kuralis (130-1189630),,,,,,FEDOR (130-1080121),,,,
